Date,BTC,MSTR
2022-08-05,23289.314453125,31.915000915527344
2022-08-08,23809.486328125,33.000999450683594
2022-08-09,23164.318359375,31.937999725341797
2022-08-10,23947.642578125,33.58000183105469
2022-08-11,23957.529296875,33.69900131225586
2022-08-12,24402.818359375,35.284000396728516
2022-08-15,24136.97265625,34.90800094604492
2022-08-16,23883.291015625,34.263999938964844
2022-08-17,23335.998046875,32.52000045776367
2022-08-18,23212.73828125,32.4379997253418
2022-08-19,20877.552734375,28.299999237060547
2022-08-22,21398.908203125,26.80900001525879
2022-08-23,21528.087890625,26.579999923706055
2022-08-24,21395.01953125,27.44099998474121
2022-08-25,21600.904296875,27.2810001373291
2022-08-26,20260.01953125,24.920000076293945
2022-08-29,20297.994140625,24.496000289916992
2022-08-30,19796.80859375,24.023000717163086
2022-08-31,20049.763671875,23.1560001373291
2022-09-01,20127.140625,22.091999053955078
2022-09-02,19969.771484375,21.805999755859375
2022-09-06,18837.66796875,20.424999237060547
2022-09-07,19290.32421875,21.861000061035156
2022-09-08,19329.833984375,23.450000762939453
2022-09-09,21381.15234375,26.19700050354004
2022-09-12,22370.44921875,26.29800033569336
2022-09-13,20296.70703125,23.125
2022-09-14,20241.08984375,22.599000930786133
2022-09-15,19701.2109375,21.694000244140625
2022-09-16,19772.583984375,20.634000778198242
2022-09-19,19544.12890625,20.6200008392334
2022-09-20,18890.7890625,19.65999984741211
2022-09-21,18547.400390625,19.591999053955078
2022-09-22,19413.55078125,19.23200035095215
2022-09-23,19297.638671875,19.145000457763672
2022-09-26,19222.671875,20.01799964904785
2022-09-27,19110.546875,20.60700035095215
2022-09-28,19426.720703125,22.047000885009766
2022-09-29,19573.05078125,21.18199920654297
2022-09-30,19431.7890625,21.22599983215332
2022-10-03,19623.580078125,22.45199966430664
2022-10-04,20336.84375,24.874000549316406
2022-10-05,20160.716796875,24.2189998626709
2022-10-06,19955.443359375,24.16699981689453
2022-10-07,19546.849609375,22.030000686645508
2022-10-10,19141.484375,22.065000534057617
2022-10-11,19051.41796875,21.636999130249023
2022-10-12,19157.4453125,21.83799934387207
2022-10-13,19382.904296875,22.054000854492188
2022-10-14,19185.65625,20.930999755859375
2022-10-17,19550.7578125,22.113000869750977
2022-10-18,19334.416015625,23.5
2022-10-19,19139.53515625,22.607999801635742
2022-10-20,19053.740234375,22.10099983215332
2022-10-21,19172.46875,23.261999130249023
2022-10-24,19345.572265625,23.760000228881836
2022-10-25,20095.857421875,26.868999481201172
2022-10-26,20770.44140625,27.27199935913086
2022-10-27,20285.8359375,27.055999755859375
2022-10-28,20595.3515625,27.999000549316406
2022-10-31,20495.7734375,26.750999450683594
2022-11-01,20485.2734375,25.719999313354492
2022-11-02,20159.50390625,24.822999954223633
2022-11-03,20209.98828125,24.8439998626709
2022-11-04,21147.23046875,27.709999084472656
2022-11-07,20602.81640625,26.663999557495117
2022-11-08,18541.271484375,21.18400001525879
2022-11-09,15880.7802734375,17.035999298095703
2022-11-10,17586.771484375,17.5
2022-11-11,17034.29296875,17.51799964904785
2022-11-14,16618.19921875,16.59000015258789
2022-11-15,16884.61328125,17.152999877929688
2022-11-16,16669.439453125,16.944000244140625
2022-11-17,16687.517578125,17.38800048828125
2022-11-18,16697.77734375,17.011999130249023
2022-11-21,15787.2841796875,15.722000122070312
2022-11-22,16189.76953125,16.70800018310547
2022-11-23,16610.70703125,17.638999938964844
2022-11-25,16521.841796875,18.299999237060547
2022-11-28,16217.322265625,17.66699981689453
2022-11-29,16444.982421875,18.200000762939453
2022-11-30,17168.56640625,19.80900001525879
2022-12-01,16967.1328125,19.898000717163086
2022-12-02,17088.66015625,20.694000244140625
2022-12-05,16974.826171875,19.566999435424805
2022-12-06,17089.50390625,19.552000045776367
2022-12-07,16848.126953125,19.349000930786133
2022-12-08,17233.474609375,20.256999969482422
2022-12-09,17133.15234375,20.325000762939453
2022-12-12,17206.4375,19.615999221801758
2022-12-13,17781.318359375,20.180999755859375
2022-12-14,17815.650390625,20.273000717163086
2022-12-15,17364.865234375,18.799999237060547
2022-12-16,16647.484375,17.375
2022-12-19,16439.6796875,17.020999908447266
2022-12-20,16906.3046875,16.885000228881836
2022-12-21,16817.53515625,16.881999969482422
2022-12-22,16830.341796875,16.62299919128418
2022-12-23,16796.953125,16.267000198364258
2022-12-27,16717.173828125,14.77400016784668
2022-12-28,16552.572265625,13.809000015258789
2022-12-29,16642.341796875,13.663000106811523
2022-12-30,16602.5859375,14.156999588012695
2023-01-03,16679.857421875,14.501999855041504
2023-01-04,16863.23828125,16.506000518798828
2023-01-05,16836.736328125,15.656000137329102
2023-01-06,16951.96875,16.045000076293945
2023-01-09,17196.5546875,17.500999450683594
2023-01-10,17446.29296875,19.0
2023-01-11,17934.896484375,19.47599983215332
2023-01-12,18869.587890625,21.017000198364258
2023-01-13,19909.57421875,21.69700050354004
2023-01-17,21161.51953125,23.591999053955078
2023-01-18,20688.78125,22.118999481201172
2023-01-19,21086.79296875,22.145000457763672
2023-01-20,22676.552734375,24.003000259399414
2023-01-23,22934.431640625,25.02199935913086
2023-01-24,22636.46875,24.75
2023-01-25,23117.859375,24.583999633789062
2023-01-26,23032.77734375,24.531999588012695
2023-01-27,23078.728515625,25.836000442504883
2023-01-30,22840.138671875,24.569000244140625
2023-01-31,23139.283203125,25.17300033569336
2023-02-01,23723.76953125,26.79199981689453
2023-02-02,23471.87109375,29.21299934387207
2023-02-03,23449.322265625,28.47599983215332
2023-02-06,22760.109375,28.204999923706055
2023-02-07,23264.291015625,28.386999130249023
2023-02-08,22939.3984375,27.59600067138672
2023-02-09,21819.0390625,24.90399932861328
2023-02-10,21651.18359375,24.336999893188477
2023-02-13,21808.1015625,24.924999237060547
2023-02-14,22220.8046875,27.11400032043457
2023-02-15,24307.841796875,29.84000015258789
2023-02-16,23623.474609375,28.402999877929688
2023-02-17,24565.6015625,29.405000686645508
2023-02-21,24436.353515625,26.992000579833984
2023-02-22,24188.84375,26.857999801635742
2023-02-23,23947.4921875,26.575000762939453
2023-02-24,23198.126953125,25.579999923706055
2023-02-27,23522.87109375,25.864999771118164
2023-02-28,23147.353515625,26.226999282836914
2023-03-01,23646.55078125,25.791000366210938
2023-03-02,23475.466796875,25.288999557495117
2023-03-03,22362.6796875,24.69099998474121
2023-03-06,22429.7578125,23.7450008392334
2023-03-07,22219.76953125,23.143999099731445
2023-03-08,21718.080078125,23.27199935913086
2023-03-09,20363.021484375,21.082000732421875
2023-03-10,20187.244140625,19.201000213623047
2023-03-13,24197.533203125,22.31599998474121
2023-03-14,24746.07421875,22.94700050354004
2023-03-15,24375.9609375,22.7549991607666
2023-03-16,25052.7890625,24.107999801635742
2023-03-17,27423.9296875,26.766000747680664
2023-03-20,27767.236328125,26.395999908447266
2023-03-21,28175.81640625,27.33799934387207
2023-03-22,27307.4375,24.68600082397461
2023-03-23,28333.97265625,26.33300018310547
2023-03-24,27493.28515625,25.66699981689453
2023-03-27,27139.888671875,23.895999908447266
2023-03-28,27268.130859375,24.826000213623047
2023-03-29,28348.44140625,28.402999877929688
2023-03-30,28033.5625,27.92300033569336
2023-03-31,28478.484375,29.23200035095215
